model_06/08_12:19 epoch : 7 ,Train_Acc: 0.9 ,Val_Acc: 0.7 ,Train_Loss: 0.0837 ,Val_Loss: 0.2034
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.84 ,Val_Acc: 0.75 ,Train_Loss: 0.0949 ,Val_Loss: 0.1886
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.86 ,Val_Acc: 0.84 ,Train_Loss: 0.0846 ,Val_Loss: 0.126
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.86 ,Val_Acc: 0.8 ,Train_Loss: 0.1016 ,Val_Loss: 0.14
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.9 ,Val_Acc: 0.73 ,Train_Loss: 0.0928 ,Val_Loss: 0.1829
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.84 ,Val_Acc: 0.76 ,Train_Loss: 0.1285 ,Val_Loss: 0.1537
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.96 ,Val_Acc: 0.82 ,Train_Loss: 0.0578 ,Val_Loss: 0.1277
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.86 ,Val_Acc: 0.79 ,Train_Loss: 0.0943 ,Val_Loss: 0.1729
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.86 ,Val_Acc: 0.77 ,Train_Loss: 0.1154 ,Val_Loss: 0.1713
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.86 ,Val_Acc: 0.82 ,Train_Loss: 0.0964 ,Val_Loss: 0.1232
model_06/08_12:19 epoch : 7 ,Train_Acc: 0.86 ,Val_Acc: 0.75 ,Train_Loss: 0.0992 ,Val_Loss: 0.1731
model_06/08_12:19 epoch : 8 ,Train_Acc: 0.88 ,Val_Acc: 0.79 ,Train_Loss: 0.0828 ,Val_Loss: 0.1639
model_06/08_12:19 epoch : 8 ,Train_Acc: 0.9 ,Val_Acc: 0.75 ,Train_Loss: 0.0759 ,Val_Loss: 0.1868
model_06/08_12:19 epoch : 8 ,Train_Acc: 0.94 ,Val_Acc: 0.76 ,Train_Loss: 0.0668 ,Val_Loss: 0.1762
